broker, subs, notifs, notif_speed, entities, avg_delay, throughput
SilboPS,1,100000,1000,10,419034.0,999.6755704552828
SilboPS,1,100000,1000,10,204517.0,999.6646182072856
SilboPS,1,100000,1000,10,186808.0,999.6749120784939
SilboPS,10,100000,1000,20,81884.0,999.6743603153769
SilboPS,10,100000,1000,20,112301.0,999.6736744259637
SilboPS,10,100000,1000,20,130104.0,999.6842188363463
SilboPS,50,100000,1000,20,197544.0,999.7041361762559
SilboPS,50,100000,1000,20,166074.0,999.6943252970469
SilboPS,50,100000,1000,20,194400.0,999.7046342880209
SilboPS,100,100000,1000,20,160526.0,999.7040573734106
SilboPS,100,100000,1000,20,180172.0,999.6749216856788
SilboPS,100,100000,1000,20,291374.0,999.6843776815567
SilboPS,200,100000,1000,20,190087.0,999.704889973145
SilboPS,200,100000,1000,20,157504.0,999.7038324086325
SilboPS,200,100000,1000,20,263322.0,999.714032146731

SilboPS,100,100000,1000,10,230545.0,999.7038967191755
SilboPS,100,100000,1000,10,203951.0,999.7141026272984
SilboPS,100,100000,1000,10,126225.0,999.6937696950539
SilboPS,100,100000,1000,50,178209.0,999.6837850924433
SilboPS,100,100000,1000,50,239161.0,999.6843278649712
SilboPS,100,100000,1000,50,126906.0,999.6540031831707
SilboPS,100,100000,1000,100,188028.0,999.7038499506416
SilboPS,100,100000,1000,100,205472.0,999.7138741440891
SilboPS,100,100000,1000,100,129179.0,999.7034137082185

SilboPS,100,1000,1000,10,798206.0,667.2794117647059
SilboPS,100,1000,1000,10,771168.0,649.0473263675476
SilboPS,100,1000,1000,10,917577.0,615.1620370370371
SilboPS,100,10000,1000,10,2140899.0,996.96739954511
SilboPS,100,10000,1000,10,2090725.0,992.0528533129069
SilboPS,100,10000,1000,10,1680430.0,996.8481375358167
SilboPS,100,100000,1000,10,257110.0,999.6837288370117
SilboPS,100,100000,1000,10,83471.0,999.7136877023931
SilboPS,100,100000,1000,10,326021.0,999.6940900164798
SilboPS,100,200000,1000,10,74982.0,999.8418487876721
SilboPS,100,200000,1000,10,109104.0,999.8467099505021
SilboPS,100,200000,1000,10,83584.0,999.8465733898867
SilboPS,10000,1000000,1000,10,9.30521797E8,375.5130906601621
SilboPS,10000,1000000,1000,10,5.03497689E8,528.9472736487245
