broker, subs, notifs, notif_speed, entities, avg_delay, throughput
CONTEXT_BROKER,1,100000,1000000,10,6325.0,11032.48633000965
CONTEXT_BROKER,10,100000,1000000,10,3989.0,4186.087937535255
CONTEXT_BROKER,100,100000,1000000,10,7936.0,2406.7820964149723
CONTEXT_BROKER,1000,100000,1000000,10,51950.0,312.00202156681746
MULTI_CONTEXT_BROKER,1,100000,1000000,10,4239.0,15725.020873921516
MULTI_CONTEXT_BROKER,10,100000,1000000,10,2522.0,7802.518707793392
MULTI_CONTEXT_BROKER,100,100000,1000000,10,8757.0,3865.773040236063
MULTI_CONTEXT_BROKER,1000,100000,1000000,10,55676.0,425.08105090186973
CONTEXT_BROKER,1,100000,1000000,10,4405.0,8902.154165585258
MULTI_CONTEXT_BROKER,1,1000000,1000000,10,2550.0,13695.572192159667
